a,[0.05656272661348803, 0.16678752719361856, 0.12400290065264685, 0.06453952139231327, 0.03698332124728064]
b,[0.07831762146482958, 0.00435097897026831, 0.019579405366207395, 0.015228426395939087, 0.0036258158085569255]
c,[0.08121827411167512, 0.012327773749093546, 0.02755620014503263, 0.05583756345177665, 0.010877447425670777]
d,[0.050761421319796954, 0.01015228426395939, 0.030456852791878174, 0.044960116026105876, 0.06381435823060189]
e,[0.029006526468455404, 0.116751269035533, 0.07686729514140682, 0.18201595358955766, 0.145032632342277]
f,[0.05728788977519942, 0.002175489485134155, 0.005801305293691081, 0.00870195794053662, 0.006526468455402465]
g,[0.0340826686004351, 0.0036258158085569255, 0.030456852791878174, 0.024655547498187092, 0.012327773749093546]
h,[0.03118201595358956, 0.06163886874546773, 0.00435097897026831, 0.013778100072516316, 0.04568527918781726]
i,[0.01595358955765047, 0.10804931109499638, 0.09572153734590283, 0.07106598984771574, 0.007251631617113851]
j,[0.016678752719361856, 0.0, 0.002175489485134155, 0.0, 0.0]
k,[0.016678752719361856, 0.0029006526468455403, 0.013778100072516316, 0.030456852791878174, 0.029006526468455404]
l,[0.05221174764321972, 0.06961566352429296, 0.06961566352429296, 0.06671501087744743, 0.04568527918781726]
m,[0.05511240029006526, 0.012327773749093546, 0.028281363306744016, 0.026831036983321246, 0.01305293691080493]
n,[0.019579405366207395, 0.025380710659898477, 0.08411892675852067, 0.07904278462654098, 0.05946337926033358]
o,[0.016678752719361856, 0.1551849166062364, 0.09064539521392313, 0.048585931834662796, 0.026831036983321246]
p,[0.05728788977519942, 0.022480058013052938, 0.01885424220449601, 0.02030456852791878, 0.007251631617113851]
q,[0.007251631617113851, 0.0014503263234227702, 0.0, 0.0014503263234227702, 0.0]
r,[0.04278462654097172, 0.09717186366932559, 0.08484408992023205, 0.06598984771573604, 0.0674401740391588]
s,[0.12690355329949238, 0.012327773749093546, 0.03480783176214648, 0.050761421319796954, 0.24510514865844815]
t,[0.07541696881798404, 0.025380710659898477, 0.050761421319796954, 0.07106598984771574, 0.07904278462654098]
u,[0.010877447425670777, 0.05946337926033358, 0.047860768672951415, 0.023930384336475707, 0.0007251631617113851]
v,[0.016678752719361856, 0.00435097897026831, 0.026831036983321246, 0.014503263234227702, 0.0]
w,[0.03988397389412618, 0.01015228426395939, 0.007251631617113851, 0.009427121102248005, 0.00435097897026831]
x,[0.002175489485134155, 0.00435097897026831, 0.01015228426395939, 0.0007251631617113851, 0.007251631617113851]
y,[0.007976794778825236, 0.01015228426395939, 0.010877447425670777, 0.005801305293691081, 0.08194343727338652]
z,[0.0014503263234227702, 0.0014503263234227702, 0.00435097897026831, 0.0036258158085569255, 0.0007251631617113851]
